Input,Category
Are snakes lizards without legs?,Definition
What are snakes?,Definition
What is a snake?,Definition
Snakes don't have legs,Legs
Snakes have legs?,Legs
I think snakes have legs,Legs
Snakes live until they are killed,Live Forever
Snakes never stop growing,Size
Is it true that a snake can keep molting to grow and live forever unless killed. ,Live Forever
Is it okay to help peel off their shedding skin?,Peel Shed
What's wrong with them?,Generic
How much space do snakes need to live comfortably?,Snake Pet
Snakes live in groups,Pairs
Snakes want to eat people,Eat
 Snakes like to cuddle with eachother,Pairs
Are snakes social?,Pairs
Are snakes asocial?,Asocial
triangle shape head snakes are venomous,Triangle Head
" Snakes under extreme pressure after surviving an attack, can molt to look like other snakes.",Molting
Snakes are aggressive,Behavior
Snakes lost their legs,Legs
Snakes are the tails humans used to have and they fell off and contain all our evil.,Evil
Are they aggressive ,Behavior
A bowl of milk will attract snakes?,Snake Attraction
Blue-tongue Lizards and Shinglebacks will discourage snakes in your garden?,Lizards Discourage
If a snakeâ€™s head is cut off it will stay alive until sundown?,Head Cut Off
Are there any snakes that are endangered as of 2022?,Endangered
A mother snake will swallow her young when threatened?,Swallow Young
Snakes always travel in pairs?,Pairs
"If you kill a snake, its partner will come after you?",Pairs
"The Hoop Snake bites onto its own tail, forms a circle and rolls down hills?",Rolls
Snakes are deaf?,Deaf
Snakes are slimy?,Slimy
Snakes are poisonous?,Poisonous
Snakes dislocate their jaws whilst feeding?,Dislocate Jaws
Pythons asphyxiate their prey by squeezing them?,Suffication
Snakes are blind?,Blind
Snakes have heat vision?,Infared
A snakes heat vision lets it see through walls?,Infared
Copperheads smell like cucumber?,Copperhead Smell
Rattlesnakes always rattle before striking?,Rattle
Juvenile venomous snakes are more dangerous than adults?,Juvenile Venom
You can tell a rattlesnakeâ€™s age from the number of rattles?,Rattle Age
Only venomous snakes have triangular head?,Triangle Head
Cottonmouths always swim with the entire body visible on water?,Cottonmouth Swim
Snakes cannot strike underwater?,Underwater Strike
All venomous snakes have elliptical pupils?,Pupils
Only rattlesnakes rattle?,Rattle
Will I get sick if I get bitten by a non-venomous snake?,Non-venomous
Are all snakes venomous?,Venomous
How do I know if my friends are snakes?,Definition
is it true that when rattlesnakes are babies that they let out all or most of their venom on their prey?,Venomous Snake Young
Are snakes territorial?,Territory
Snakes will not bite unless you try to approach/handle them.,Behavior
"In simple terms, which snake to be around and which one to run away from ASAP?",Dangerous Snakes
What is it like having a snake as a pet?,Snake Pet
Snakes crawl into my ears when I sleep to give me nightmares,Snake Crawl Ear
What snakes are considered dangerous in Texas?,Dangerous Snakes
What is the easiest way to tell if a snake is dangerous?,Dangerous Snakes
Are they venomous?,Venomous
How often do you feed them?,Pet Snakes
Do snakes like to bite?,Behavior
Pet snakes want to eat their owners,Eat
Are they poisonous?,Poisonous
How big are pet snakes?,Size
Is it legal to kill snakes?,Snake Benefits
Are there any protected snakes?,Endangered
Are snakes affectionate?,Pet Snakes
Snakes constantly eat,Eat
Are snakes in Texas dangerous?,Dangerous Snakes
why snake love to eat egg?,Eat Eggs
Snakes don't have bones,Bones
Snakes lay by you to measure when they will be able to eat you,Eat
Snakes are slimy,Slimy
Snakes chase people,Behavior
Snakes want to bite people,Behavior
All snakes lay eggs,Lay Eggs
Snakes can poison me?,Poisonous
Only good snake is a dead snake,Kill Snakes
Snakes unhinge their jaws,Jaws
Snake is going to eat my,Size
All snakes are venomous,Venomous
All snakes are dangerous,Dangerous Snakes
Snakes are boring,Snake Pet
Snake has vertical pupils it is venomous,Pupils
Red touches black your okay jack but red touches yellow you're a dead fellow,Poem
Snakes free roam and cohabitate with lots of snakes,Cohabitation
Do snakes poop,Poop
Snakes don't have legs,Legs
Snakes work for the devil,Evil
Snakebites should be sucked out,Snakebite
"If you see a baby, mother is nearby",Mother Snake
Baby snakes more dangerous than adults,Venomous Snake Young
Snakes are mostly tail,Body
Snakes sufficate prey,Suffication
Black snakes and Blue tongue lizards keep brown snakes away,Lizards Discourage
Austrailia has the deadliest snakes in the world,Dangerous Snakes
Snakes have poor eyesight,Eyesight
Snakes remember if you hurt them,Behavior
Rat snakes mate with cobras,Crossbreeding
Some snakes grow beards,Hair
Snakes carry a diamond in their forehead,Diamond
If one snake is killed its partner will track you,Pairs
Flying snakes can pierce somebody's forhead or put out their eyes,Flying snakes
Snakes can spit venom,Spitting
There are two headed snakes,Two Heads
Snakes go blind in the summer,Blind
Snakes go blind when they shed,Shed
Snakes don't have mothers,Mother Snake
female snakes protect young inside mouth,Mother Snake
Snakes can sting with their tails,Tails
It is good to kill snakes,Kill Snakes
Snakes are cold,Cold
Snakes are fast,Speed
Snakes become huge,Size
Snakes are stinky,Musk
Snake that can flare up are venomous,Venomous
Snakes are spies for the Devil,Evil
How do I keep snakes out of my yard?,Snake Attraction
How do I keep out of my house?,Snake Attraction
Snakes crossbreed to become more venomous,Crossbreeding
All lizards have legs,Legless Lizard
Glass snakes are snakes,Legless Lizard
Milksnakes drink milk,Snake Attraction
Cottonmouths wait in trees to drop into boats,Behavior
I should kill venomous snakes,Kill Snakes
Shocking venom with electricty neurtralizes it,Snake Bite
Snakes hypnotize their prey,Eat
Dangerous snakes have cat eyes,Pupils
Dangerous snakes have triangle heads,Dangerous Snakes
Snakes that rattle tail are dangerous,Rattle
Snakes will whip tails,Tail Whip
I should have snakes removed from my,Snake Benefits
Snakes are bad,Snake Benefits
Venomous snakes should be removed,Snake Benefits
Snakes make bad pets,Pet Snakes
Snakes are dangerous pets,Pet Snakes
Pet snakes are dangerous,Pet Snakes
Pet snakes can escape and harm the environment,Escape
Pet snakes are the most harmful to the environment,Escape
Snakes are lizards without legs,Definition
Snakes can't smell,Smell
Snakes track their prey for weeks,Eat
Snakes are dumb,Brain
Snakes are emotionless,Brain
Snakes have robot brains,Brain
Snakes are evil,Brain
Snakes squeeze prey to death,Suffication
Snakes wrap around people to eat them,Eat
Snakes can't swim,Swim
Snakes don't breathe,Body
Snakes don't care about their owners,Pet Snakes
Snakes can't recognize their owners,Pet Snakes
Snakes can smell fear,Fear
Snakes can sense fear,Fear
Snakes like music,Music
Snakes dance to music,Music
Snakes are cuddly to people,Pet Snakes
I understand,Understand
Yes,Understand
Okay,Understand
Thank you,Understand
What is your name?,Name
Who created you?,Creators
What have we talked about?,Topics
What have I learned again?,Topics
How much do you know?,Subjects
Why were you created?,Creation
Who are your parents?,Creators
What do you know about snakes?,Topics
I disagree,Misunderstand
I don't understand,Misunderstand
Why,Misunderstand
You are wrong,Misunderstand
That’s wrong,Misunderstand
That’s incorrect,Misunderstand
What else do you know?,Topics
Cool,Understand
Goodbye,Bye
Im leaving,Bye
See ya,Bye
Hi,Greeting
Hello,Greeting
How are you doing,Greeting
Snakes can bond with their owners,Pet Snakes
Snakes are terrible pets,Pet Snakes
Snakes shouldn't exist,Snake Benefits
Snakes only eat rodents,Eat
Snakes are cold bloodied and mean,Behavior
Snakes pretend to be dead,Scared
How do you know when a snake is threatened,Scared
How do you know when a snake will bite,Scared
Snakes cut in half can become two snakes,Body
Snakes never die,Live Forever
Snakes hold grudges,Brain
Snakes can regrow their heads,Body
Do snakes feel pain,Body
Snakes have emotions,Brain
Snakes can eat giant prey,Eat
Snakes can eat much more than their size,Eat
